source,run,region,baseline_mode,standardization_protocol,baseline_fit_path,member_match_policy,case,period_start,period_end,spei48_mean
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_temperature,2041,2060,0.5506977427540963
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_temperature,2081,2100,0.5719903160588189
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_radiation,2021,2040,-2.188587818122428
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_radiation,2041,2060,-2.997910222643021
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_radiation,2081,2100,-4.733682680384449
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_wind,2021,2040,-2.295653925348073
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_wind,2041,2060,-2.90389136142048
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_wind,2081,2100,-5.06177871795576
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_humidity,2021,2040,-1.9949506707565445
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_humidity,2041,2060,-2.905444379300542
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_humidity,2081,2100,-4.564211043976837
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_pressure,2021,2040,-2.077561023709433
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_pressure,2041,2060,-2.9126482861438343
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,loo_pressure,2081,2100,-4.7550606433372575
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_precipitation,2021,2040,0.20502594752115263
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_precipitation,2041,2060,0.40028618848372294
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_precipitation,2081,2100,0.4087227633508549
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_temperature,2021,2040,-2.5899529382909625
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_temperature,2041,2060,-3.4617625611961804
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_temperature,2081,2100,-5.362818445175907
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_radiation,2021,2040,0.050465897143428626
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_radiation,2041,2060,0.023425618726893187
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_radiation,2081,2100,-0.06288658155377357
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_wind,2021,2040,0.09103463627099145
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_wind,2041,2060,-0.09642300918968356
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_wind,2081,2100,0.1703792556488118
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_humidity,2021,2040,-0.05483698763333608
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_humidity,2041,2060,0.02376783311496362
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_humidity,2081,2100,-0.14771957631508548
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_pressure,2021,2040,-0.04844919616584787
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_pressure,2041,2060,-0.04794790272099444
cmip6/CanESM5-1,r1i1p1f1,IRN,native,member-native-zscore,,exact,only_pressure,2081,2100,-0.0424586726031163
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_actual,2021,2040,-1.3580451432319165
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_actual,2041,2060,-2.422200709922341
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_actual,2081,2100,-4.0775967871811885
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_clamped,2021,2040,-0.1338333410108886
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_clamped,2041,2060,-0.1338333410108886
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_clamped,2081,2100,-0.1338524527332923
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_precipitation,2021,2040,-1.6010685250453032
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_precipitation,2041,2060,-2.4635407548918766
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_precipitation,2081,2100,-4.142628551317994
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_temperature,2021,2040,0.2377646217186662
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_temperature,2041,2060,-0.17557215256273107
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_temperature,2081,2100,-0.40395783642994615
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_radiation,2021,2040,-1.4541693824513113
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_radiation,2041,2060,-2.5203820846119345
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_radiation,2081,2100,-4.048890938429861
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_wind,2021,2040,-1.5904534024331118
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_wind,2041,2060,-2.6896880056875645
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_wind,2081,2100,-4.447519730141165
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_humidity,2021,2040,-1.231191767225105
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_humidity,2041,2060,-2.043401415751295
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_humidity,2081,2100,-3.4803261806989894
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_pressure,2021,2040,-1.356760278223019
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_pressure,2041,2060,-2.419826361200144
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_pressure,2081,2100,-4.073401584215851
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_precipitation,2021,2040,0.1091902582368211
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_precipitation,2041,2060,-0.09249339786630492
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_precipitation,2081,2100,-0.06882069743412209
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_temperature,2021,2040,-1.7836218134419322
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_temperature,2041,2060,-2.429531957255517
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_temperature,2081,2100,-3.8494644709856867
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_radiation,2021,2040,-0.058012346141202764
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_radiation,2041,2060,-0.058831957245446015
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_radiation,2081,2100,-0.18400613866772464
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_wind,2021,2040,0.041878636478495324
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_wind,2041,2060,0.07623256909593921
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_wind,2081,2100,0.15189611693232444
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_humidity,2021,2040,-0.2700584812678308
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_humidity,2041,2060,-0.5137045606435487
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_humidity,2081,2100,-0.7239710028615447
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_pressure,2021,2040,-0.13550464666576156
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_pressure,2041,2060,-0.13613685030694944
cmip6/CESM2-WACCM,r2i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_pressure,2081,2100,-0.13713501768099945
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_actual,2021,2040,-4.844011721107593
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_actual,2041,2060,-6.994377967262573
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_actual,2081,2100,-7.95511801641456
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_clamped,2021,2040,-0.1338333410108886
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_clamped,2041,2060,-0.1338333410108886
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,all_clamped,2081,2100,-0.1338524527332923
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_precipitation,2021,2040,-5.6292278825554645
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_precipitation,2041,2060,-7.511002116984799
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_precipitation,2081,2100,-8.822714808951456
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_temperature,2021,2040,1.3338845303974074
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_temperature,2041,2060,0.6206082570099418
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_temperature,2081,2100,0.9115767774882308
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_radiation,2021,2040,-5.054673213295518
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_radiation,2041,2060,-7.117212585764947
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_radiation,2081,2100,-8.042268612124671
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_wind,2021,2040,-5.056140042150559
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_wind,2041,2060,-7.3764361096865505
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_wind,2081,2100,-8.21153244261624
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_humidity,2021,2040,-5.267710059408733
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_humidity,2041,2060,-6.814144373594866
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_humidity,2081,2100,-7.861134822244825
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_pressure,2021,2040,-4.842502250247589
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_pressure,2041,2060,-6.989841512288814
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,loo_pressure,2081,2100,-7.94506433961882
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_precipitation,2021,2040,0.6513828455431852
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_precipitation,2041,2060,0.3827907128581694
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_precipitation,2081,2100,0.7337444018748712
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_temperature,2021,2040,-6.461091713537275
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_temperature,2041,2060,-7.827874208520229
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_temperature,2081,2100,-9.046228983525014
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_radiation,2021,2040,0.04214361053400076
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_radiation,2041,2060,-0.04570161267087036
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_radiation,2081,2100,-0.08135587765676998
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_wind,2021,2040,0.01100301861697252
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_wind,2041,2060,0.1369598057127363
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_wind,2081,2100,0.04527916210016728
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_humidity,2021,2040,0.21800430326331816
cmip6/CESM2,r10i1p1f1,IRN,native,member-native-zscore,,same-source-fallback,only_humidity,2041,2060,-0.2529255258471459
