version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
ACCESS-CM2,1,5.8809814,5.937317,5.922699,5.088379
ACCESS-CM2,2,5.441986,5.8077087,5.8034973,5.132019
ACCESS-CM2,3,6.1046143,6.179535,5.9013977,5.4245605
ACCESS-ESM1-5,1,4.8986816,4.826416,6.2901,5.146942
ACCESS-ESM1-5,2,4.945038,5.020874,6.285553,5.223236
ACCESS-ESM1-5,3,4.8545837,4.727783,6.2285156,5.2431335
CESM2,1,5.5961,5.649811,6.470764,5.2995605
CESM2,2,5.75708,5.5961,6.4513855,5.283539
CESM2,3,5.75708,5.649811,6.074402,5.1791687
CESM2-WACCM,1,5.5231934,5.4207153,6.489441,5.3273926
CESM2-WACCM,2,5.44281,5.4207153,6.1333923,5.0344543
CESM2-WACCM,3,5.4207153,5.44281,6.2679443,5.1422424
CanESM5,1,5.9019775,5.80661,6.22287,5.2483826
CanESM5,2,6.823944,6.709961,6.4585266,5.2491455
CanESM5,3,6.62854,5.7455444,6.3581543,5.201111
CanESM5-1,1,6.381195,5.6361694,6.27948,5.135437
CanESM5-1,2,6.591095,5.8006287,6.3181763,5.3491516
CanESM5-1,3,6.65744,6.6566467,6.1470947,5.3234253
CanESM5-CanOE,1,6.6647644,6.60672,6.224579,5.0954285
CanESM5-CanOE,2,6.691284,6.693207,6.3866577,5.0966187
CanESM5-CanOE,3,6.7201233,6.662079,6.2255554,5.1655273
EC-Earth3,1,5.499542,5.02652,5.9308777,5.1474304
EC-Earth3,2,5.812683,5.583557,6.216736,5.1748657
EC-Earth3,3,5.3532104,5.124695,6.296753,5.3756104
EC-Earth3-Veg,1,5.091736,5.1684265,6.06369,5.144989
EC-Earth3-Veg,2,5.126953,5.163086,5.73822,5.3483887
EC-Earth3-Veg,3,5.265106,5.3065796,5.668915,5.162201
EC-Earth3-Veg-LR,1,5.446167,5.378296,5.4847107,5.120636
EC-Earth3-Veg-LR,2,5.446167,5.378296,5.313629,5.084137
EC-Earth3-Veg-LR,3,5.378296,5.446167,5.5159607,5.17865
GISS-E2-1-G,1,4.781952,4.777252,5.4112854,5.0586853
GISS-E2-1-G,2,4.8647766,4.8743896,5.475189,5.0008545
GISS-E2-1-G,3,4.9921875,4.9358215,5.5198975,5.090912
GISS-E2-1-H,1,5.2788696,5.2138977,6.2227783,5.2869873
GISS-E2-1-H,2,4.8444214,4.9455566,6.3944397,5.1965027
GISS-E2-1-H,3,5.168579,5.1695557,6.3522644,5.1941833
GISS-E2-2-G,1,4.028473,4.0714417,4.215912,5.1036377
GISS-E2-2-G,2,3.9407349,3.9072266,4.2013855,5.2003174
GISS-E2-2-G,3,4.477295,4.55777,4.173279,5.2183228
HadGEM3-GC31-LL,1,6.4328613,6.3886414,6.218933,5.1380005
HadGEM3-GC31-LL,2,6.4926453,6.4453735,6.234375,5.1521606
HadGEM3-GC31-LL,3,6.191223,6.1637573,6.2114563,4.832184
HadGEM3-GC31-MM,1,6.1635437,6.1790466,6.0380554,5.281006
HadGEM3-GC31-MM,2,6.1654053,6.207733,5.767517,5.1114807
HadGEM3-GC31-MM,3,6.243805,6.286133,6.052063,5.1488037
IPSL-CM6A-LR,1,5.7469788,5.7734375,5.087036,5.194275
IPSL-CM6A-LR,2,5.9506836,5.8471375,5.063965,5.03006
IPSL-CM6A-LR,3,5.7635803,5.7371216,5.157135,5.104553
MIROC-ES2L,1,4.269989,4.1836853,5.5033875,5.234894
MIROC-ES2L,2,4.1950073,4.18042,5.5136414,5.1844788
MIROC-ES2L,3,4.2079163,4.148529,5.4490967,4.984436
MIROC6,1,4.0198975,3.9959412,6.0622864,5.1257324
MIROC6,2,3.9649658,4.0424194,5.9214783,5.2557373
MIROC6,3,3.9953918,3.9981995,5.9311523,5.091858
UKESM1-0-LL,1,6.5962524,6.580353,6.01062,4.979309
UKESM1-0-LL,2,6.841858,6.8577576,6.036682,5.306946
UKESM1-0-LL,3,6.5851746,6.579956,5.8477783,5.227112
