version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
CanESM5,1,3.397522,3.4005127,2.4191895,2.1476746
CanESM5,2,3.2630005,3.2807922,2.4257507,1.9725342
CanESM5,3,3.5505676,3.5281067,2.3556519,2.0493164
GISS-E2-1-G,1,1.5445251,2.0578613,2.046936,2.2468567
GISS-E2-1-G,2,2.7789612,2.2409668,2.235443,2.1263733
GISS-E2-1-G,3,2.322235,2.3259277,2.175415,2.118103
GISS-E2-1-H,1,2.4763794,1.9320984,2.2738037,1.96698
GISS-E2-1-H,2,2.3430176,2.8872986,2.3717957,2.2181396
GISS-E2-1-H,3,2.8872986,2.3430176,2.276886,2.052063
IPSL-CM6A-LR,1,2.697998,2.7843018,2.0993958,1.940918
IPSL-CM6A-LR,2,2.5672607,2.6535645,2.0247803,2.2124634
IPSL-CM6A-LR,3,2.5616455,2.6479492,2.1446838,2.0625
UKESM1-0-LL,1,3.9833374,4.0279236,2.2068481,2.0976257
UKESM1-0-LL,2,3.7539062,3.7730408,2.2312012,2.1880188
UKESM1-0-LL,3,3.704895,3.7730408,2.3110962,2.094513
