aggregation,baseline_end,baseline_start,effective_block_trials,estimate,events,factual_probability,forcing,lower,members,natural_probability,one_sided,one_sided_point_ratio_bound,opportunities,pet_method,record_type,rsds_treatment,source,threshold,upper,window_end,window_start,years_per_member
regional-water-balance-spei,2010,1991,100,0.01,5,,natural,0.002,100,,False,,500,hargreaves,probability,adjusted,GCMagicc-CE,-1.7197701930999756,0.022,2025,2021,5
regional-water-balance-spei,2010,1991,100,9.0,,0.09,factual/natural,3.625,100,0.01,False,nan,,hargreaves,probability_ratio,adjusted,GCMagicc-CE,-1.7197701930999756,46.0,2025,2021,5
regional-water-balance-spei,2010,1991,400,0.274,548,,factual,0.2355,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc-CE,-1.7197701930999756,0.315,2060,2041,20
regional-water-balance-spei,2010,1991,400,0.008,16,,natural,0.003,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc-CE,-1.7197701930999756,0.0145,2060,2041,20
regional-water-balance-spei,2010,1991,400,34.25,,0.274,factual/natural,18.307122507122507,100,0.008,False,nan,,hargreaves,probability_ratio,adjusted,GCMagicc-CE,-1.7197701930999756,97.17499999999987,2060,2041,20
gridcell-spei-area-mean,2010,1991,100,0.008,4,,factual,0.0,100,,False,,500,hargreaves,probability,unadjusted,GCMagicc-CE,-1.655126820567337,0.018,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,hargreaves,probability,unadjusted,GCMagicc-CE,-1.655126820567337,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.008,factual/natural,0.06776663295151063,100,0.0,True,0.2710665318060425,,hargreaves,probability_ratio,unadjusted,GCMagicc-CE,-1.655126820567337,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.074,148,,factual,0.054,100,,False,,2000,hargreaves,probability,unadjusted,GCMagicc-CE,-1.655126820567337,0.0965,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,hargreaves,probability,unadjusted,GCMagicc-CE,-1.655126820567337,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.074,factual/natural,7.639362550141151,100,0.0,True,9.917768924744651,,hargreaves,probability_ratio,unadjusted,GCMagicc-CE,-1.655126820567337,inf,2060,2041,20
gridcell-spei-area-mean,2010,1981,100,0.008,4,,factual,0.002,100,,False,,500,hargreaves,probability,adjusted,GCMagicc-CE,-1.6782536066442586,0.016,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,0.0,0,,natural,0.0,100,,True,,500,hargreaves,probability,adjusted,GCMagicc-CE,-1.6782536066442586,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,inf,,0.008,factual/natural,0.06776663295151063,100,0.0,True,0.2710665318060425,,hargreaves,probability_ratio,adjusted,GCMagicc-CE,-1.6782536066442586,inf,2025,2021,5
gridcell-spei-area-mean,2010,1981,400,0.067,134,,factual,0.0485,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc-CE,-1.6782536066442586,0.0875,2060,2041,20
