nside,npix,months,wall_s_median,wall_s_iqr,peak_mem_bytes,reps,warmup,device,dtype
1,12,120,5.398001580964774,0.1064458314795047,18729510912.0,3,1,cuda:0,float32
2,48,120,5.389199746772647,0.021215795539319515,18729510912.0,3,1,cuda:0,float32
4,192,120,5.368768216110766,0.024237353587523103,18729510912.0,3,1,cuda:0,float32
8,768,120,5.385211879853159,0.0165643400978297,18729510912.0,3,1,cuda:0,float32
16,3072,120,5.377010036725551,0.05596049036830664,18729510912.0,3,1,cuda:0,float32
32,12288,120,5.588116810191423,1.5255626090802252,18729510912.0,3,1,cuda:0,float32
64,49152,120,5.494223282206804,0.01802490884438157,18729510912.0,3,1,cuda:0,float32
