version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
CanESM5,1,1.9199219,1.8548889,1.4985962,1.3471985
CanESM5,2,1.8823853,1.9127197,1.6748352,1.3117676
CanESM5,3,1.5997314,1.7048035,1.5100708,1.2618103
EC-Earth3,1,0.9736023,1.5214233,0.7971802,1.3557434
EC-Earth3,2,1.6100159,0.9484863,1.363739,1.6391907
EC-Earth3,3,1.0534668,1.2534485,1.0274048,1.5508118
EC-Earth3-Veg,1,1.5400696,1.0116272,1.3873901,1.473877
EC-Earth3-Veg,2,1.0882568,0.85443115,1.1036682,1.5514526
EC-Earth3-Veg,3,0.89682007,1.6784668,1.0931396,1.4494629
EC-Earth3-Veg-LR,1,1.7386475,1.9386292,1.6542358,1.4819641
EC-Earth3-Veg-LR,2,1.7048035,1.9386292,1.3392944,1.4527283
EC-Earth3-Veg-LR,3,1.7386475,1.9386292,1.5048523,1.4878845
GISS-E2-1-G,1,1.644928,1.581543,1.4840088,1.3763428
GISS-E2-1-G,2,1.7879333,1.7245483,1.4831848,1.2269897
GISS-E2-1-G,3,1.7879333,1.7245483,1.1204224,1.4616394
GISS-E2-1-H,1,1.2150879,1.8224182,1.4319763,1.463562
GISS-E2-1-H,2,1.8254089,1.2180786,1.5122681,1.5584106
GISS-E2-1-H,3,1.770813,1.1634827,1.381012,1.320282
IPSL-CM6A-LR,1,1.6000977,1.6570435,1.631073,1.4120483
IPSL-CM6A-LR,2,1.6226501,1.5099487,1.3226013,1.3682251
IPSL-CM6A-LR,3,1.5396118,1.3829651,0.8296509,1.3508606
MIROC-ES2L,1,1.4802551,1.4836426,1.6034546,1.4815979
MIROC-ES2L,2,1.5032043,1.4808655,1.4382019,1.3240662
MIROC-ES2L,3,1.440033,1.4416809,1.4692993,1.4618835
MIROC6,1,1.4410706,1.5169983,1.4084167,1.4207153
MIROC6,2,1.3631287,1.2660522,1.3890381,1.5219727
MIROC6,3,1.3890991,1.3582153,1.2504272,1.22406
UKESM1-0-LL,1,2.484558,2.414917,1.2797546,1.4169617
UKESM1-0-LL,2,2.3372498,2.4264526,1.5645447,1.4973145
UKESM1-0-LL,3,2.3651428,2.284607,1.26474,1.4291687
