version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
CanESM5,1,4.762085,4.7989807,3.9291992,3.0056458
CanESM5,2,4.53244,4.4955444,3.6843872,3.0884094
CanESM5,3,4.7398376,4.6723022,3.720459,3.1053467
GISS-E2-1-G,1,2.622284,2.5473022,3.0700989,2.989563
GISS-E2-1-G,2,3.0331116,3.0467224,3.2682495,3.2702026
GISS-E2-1-G,3,2.3258362,2.9117126,3.2622986,3.195221
GISS-E2-1-H,1,3.607483,3.1689453,3.6212463,3.174408
GISS-E2-1-H,2,3.4603882,3.8989258,3.7019653,3.0733032
GISS-E2-1-H,3,3.530426,3.9689636,3.7098083,2.9772034
IPSL-CM6A-LR,1,3.815918,3.8197327,3.051422,3.0483093
IPSL-CM6A-LR,2,3.980774,3.9769592,3.0360107,3.0353394
IPSL-CM6A-LR,3,3.764862,3.896759,2.9694214,3.1622314
