version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
ACCESS-ESM1-5,28,2.2632751,2.253601,1.6383972,1.4747009
ACCESS-ESM1-5,29,2.2145386,2.4397278,1.710907,1.4819641
ACCESS-ESM1-5,30,4.9252625,4.910736,5.3642273,4.7511597
ACCESS-ESM1-5,31,4.706299,4.7031555,5.1560364,4.7402344
ACCESS-ESM1-5,32,4.0299683,4.0414124,4.2010193,3.934143
ACCESS-ESM1-5,33,4.7114563,4.7059937,5.287781,4.8711853
ACCESS-ESM1-5,34,4.8016357,4.6007385,5.347931,4.8165894
ACCESS-ESM1-5,35,2.2557983,2.150238,1.5643616,1.5175476
ACCESS-ESM1-5,36,4.281891,4.380127,4.1068115,3.9009094
ACCESS-ESM1-5,37,2.1902466,2.1519165,1.5040588,1.5532532
ACCESS-ESM1-5,38,2.1993713,2.0196838,1.5429993,1.5135193
ACCESS-ESM1-5,39,4.2476807,4.247345,4.411255,3.7730408
ACCESS-ESM1-5,40,1.9388428,2.1673584,1.5538635,1.4642334
ACCESS-ESM1-5,41,4.892273,4.990082,5.499634,4.697876
ACCESS-ESM1-5,42,4.183899,4.2437134,4.3769226,3.8611755
ACCESS-ESM1-5,43,4.2278748,4.353821,4.2226562,3.8565063
ACCESS-ESM1-5,44,4.316742,4.1498413,4.4627686,3.8814392
ACCESS-ESM1-5,45,2.1435547,2.1679688,1.4795837,1.6890564
ACCESS-ESM1-5,46,4.731262,4.759369,5.368103,4.901428
ACCESS-ESM1-5,47,4.1312866,4.180298,4.42572,3.9183044
ACCESS-ESM1-5,48,2.104065,2.0949707,1.4839172,1.5219727
ACCESS-ESM1-5,49,4.1612854,4.154541,4.3697815,3.8295288
ACCESS-ESM1-5,50,4.8023987,4.797577,5.3034973,4.607422
CESM2,1,4.4574585,4.2803345,3.868805,3.8372498
CESM2,2,5.4207153,5.5231934,4.639435,4.6903076
CESM2,3,4.2380066,4.258789,3.9450378,3.844757
CESM2,4,5.5231934,5.8126526,4.8451843,4.4382935
CESM2,5,5.649811,5.44281,4.8471375,4.5471497
CESM2,6,2.3788147,2.5107422,1.867279,1.7366943
CESM2,7,4.2803345,4.2380066,3.9558716,3.9035034
CESM2,8,5.64682,5.4207153,5.041626,4.58374
CESM2,9,2.571106,2.3788147,1.6395874,1.6415405
CESM2,10,5.44281,5.5961,4.6579895,4.567932
CESM2,11,2.3788147,2.466339,1.7926636,1.7264404
CESM2,12,5.649811,5.8126526,5.013916,4.612549
CESM2,13,4.2803345,4.2380066,3.9595947,3.5705872
CESM2,14,4.2803345,4.2380066,3.9304504,3.7960815
CESM2,15,4.4574585,4.2803345,4.129486,3.7484436
CESM2,16,5.4207153,5.8126526,4.878784,4.345215
CESM2,17,4.2380066,4.258789,4.063843,3.7594604
CESM2,18,4.258789,4.3114624,4.222351,3.827118
CESM2,19,4.2380066,4.258789,3.8667297,4.027069
CESM2,20,4.2803345,4.3114624,4.0984497,3.793579
CESM2,21,5.5961,5.44281,4.91391,4.5438232
CESM2,22,2.571106,2.5107422,1.9677429,1.888794
CESM2,23,5.75708,5.4207153,5.094391,4.4671326
CESM2,24,4.258789,4.4574585,3.932434,3.8326416
CESM2,25,4.3114624,4.258789,3.8071594,3.9147644
CESM2,26,4.2803345,4.3114624,3.932373,3.7913513
CESM2,27,5.649811,5.5231934,4.8562317,4.4534607
CESM2,28,5.64682,5.44281,4.8213196,4.4901123
CESM2,29,5.8126526,5.44281,4.819458,4.700653
CESM2,30,5.64682,5.44281,4.887848,4.729492
CESM2,31,5.75708,5.8126526,4.9411316,4.554779
CESM2,32,2.3788147,2.466339,1.7926025,1.7625122
CESM2,33,4.3114624,4.258789,3.8636475,3.8417969
CESM2,34,5.44281,5.649811,4.937317,4.7950134
CESM2,35,5.75708,5.64682,4.6971436,4.658325
CESM2,36,2.571106,2.5107422,1.6534119,1.7610779
CESM2,37,4.3114624,4.2380066,3.8364563,3.7822876
CESM2,38,2.332428,2.5107422,1.7142639,1.805603
CESM2,39,2.466339,2.3788147,1.819397,1.570343
CESM2,40,2.466339,2.332428,2.0046692,1.6907043
CESM2,41,5.5961,5.649811,4.895752,4.676239
CESM2,42,4.2380066,4.3114624,3.7554016,3.8783264
CESM2,43,2.571106,2.5107422,1.6730347,1.7503662
CESM2,44,5.75708,5.8126526,4.7788086,4.713196
CESM2,45,2.571106,2.5107422,1.6928711,1.5009766
CESM2,46,4.258789,4.3114624,3.8779907,3.9741516
CESM2,47,5.649811,5.4207153,4.7311096,4.4935303
CESM2,48,5.649811,5.8126526,4.968506,4.494812
CESM2,49,4.2803345,4.2380066,3.9725647,3.7879639
CESM2,50,4.3114624,4.4574585,3.751068,3.9238586
CESM2-WACCM,1,5.5231934,5.4207153,5.1108704,4.4210815
CESM2-WACCM,2,5.44281,5.4207153,5.0178833,4.4694824
CESM2-WACCM,3,5.44281,5.4207153,4.883606,4.4868774
CESM2-WACCM,4,5.44281,5.5231934,5.1722717,4.5088806
CESM2-WACCM,5,5.4207153,5.5231934,5.026245,4.605713
CESM2-WACCM,6,5.44281,5.4207153,5.07312,4.5207214
CESM2-WACCM,7,5.5231934,5.44281,5.017517,4.499878
CESM2-WACCM,8,5.5231934,5.4207153,5.05777,4.476654
CESM2-WACCM,9,5.5231934,5.44281,5.080475,4.512665
CESM2-WACCM,10,5.44281,5.5231934,5.117096,4.4356995
CESM2-WACCM,11,5.44281,5.4207153,5.1492004,4.4402466
CESM2-WACCM,12,5.4207153,5.44281,4.992218,4.49527
CESM2-WACCM,13,5.44281,5.4207153,4.9657593,4.5498962
CESM2-WACCM,14,5.4207153,5.5231934,5.0758667,4.4262695
CESM2-WACCM,15,5.4207153,5.44281,5.006073,4.513214
CESM2-WACCM,16,5.4207153,5.44281,4.9334106,4.4226074
CESM2-WACCM,17,5.5231934,5.4207153,5.092987,4.4512024
CESM2-WACCM,18,5.44281,5.4207153,4.9599304,4.4188843
CESM2-WACCM,19,5.4207153,5.5231934,4.995575,4.50708
CESM2-WACCM,20,5.4207153,5.44281,4.9374084,4.4720764
CESM2-WACCM,21,5.5231934,5.4207153,4.941223,4.5462646
CESM2-WACCM,22,5.44281,5.5231934,4.959015,4.486206
CESM2-WACCM,23,5.5231934,5.4207153,5.089966,4.5212097
CESM2-WACCM,24,5.4207153,5.44281,5.0968323,4.493744
CESM2-WACCM,25,5.44281,5.5231934,5.130829,4.5183105
CESM2-WACCM,26,5.44281,5.5231934,4.934265,4.5672607
CESM2-WACCM,27,5.4207153,5.5231934,5.072937,4.528076
CESM2-WACCM,28,5.5231934,5.4207153,5.109375,4.4430847
CESM2-WACCM,29,5.44281,5.4207153,5.057495,4.4790344
CESM2-WACCM,30,5.44281,5.5231934,4.925873,4.476776
CESM2-WACCM,31,5.44281,5.4207153,4.911194,4.458496
CESM2-WACCM,32,5.4207153,5.5231934,5.117798,4.4783936
CESM2-WACCM,33,5.5231934,5.4207153,5.0691223,4.4921265
CESM2-WACCM,34,5.4207153,5.44281,4.896179,4.5012817
CESM2-WACCM,35,5.4207153,5.5231934,5.0255127,4.453644
CESM2-WACCM,36,5.44281,5.4207153,5.0388794,4.409546
CESM2-WACCM,37,5.5231934,5.4207153,5.017456,4.467926
CESM2-WACCM,38,5.5231934,5.44281,5.0075073,4.447876
CESM2-WACCM,39,5.4207153,5.44281,5.100006,4.5375366
CESM2-WACCM,40,5.4207153,5.44281,5.1383057,4.477173
CESM2-WACCM,41,5.5231934,5.44281,4.9750366,4.508148
CESM2-WACCM,42,5.4207153,5.5231934,5.089569,4.3742065
CESM2-WACCM,43,5.44281,5.4207153,5.0490723,4.5966797
CESM2-WACCM,44,5.5231934,5.44281,5.092926,4.4868164
CESM2-WACCM,45,5.4207153,5.5231934,5.030731,4.5404053
CESM2-WACCM,46,5.5231934,5.44281,5.162628,4.5967712
CESM2-WACCM,47,5.5231934,5.44281,4.935974,4.4136963
CESM2-WACCM,48,5.44281,5.4207153,4.9186096,4.3551025
CESM2-WACCM,49,5.44281,5.4207153,5.0399475,4.5705566
CESM2-WACCM,50,5.44281,5.4207153,4.9829407,4.515869
CanESM5,1,1.8277893,1.7633362,1.4217834,1.3916321
CanESM5,2,5.4689636,5.4255676,4.2775574,4.017151
CanESM5,3,2.300293,2.1397705,1.9679565,1.8545837
CanESM5,4,6.5408325,6.4901123,5.414856,5.083954
