aggregation,baseline_end,baseline_start,effective_block_trials,estimate,events,factual_probability,forcing,lower,members,natural_probability,one_sided,one_sided_point_ratio_bound,opportunities,pet_method,record_type,rsds_treatment,source,threshold,upper,window_end,window_start,years_per_member
regional-water-balance-spei,2010,1991,400,422.0,,0.211,factual/natural,96.125,100,0.0005,True,nan,,penman-monteith,probability_ratio,adjusted,GCMagicc,-1.9174238443374634,inf,2060,2041,20
gridcell-spei-area-mean,2010,1991,100,0.014,7,,factual,0.004,100,,False,,500,penman-monteith,probability,unadjusted,GCMagicc,-1.8381701072586882,0.028,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,penman-monteith,probability,unadjusted,GCMagicc,-1.8381701072586882,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.014,factual/natural,0.13553326590302125,100,0.0,True,0.4743664306605744,,penman-monteith,probability_ratio,unadjusted,GCMagicc,-1.8381701072586882,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.0935,187,,factual,0.071,100,,False,,2000,penman-monteith,probability,unadjusted,GCMagicc,-1.8381701072586882,0.1175,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,penman-monteith,probability,unadjusted,GCMagicc,-1.8381701072586882,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.0935,factual/natural,9.917768924744651,100,0.0,True,12.531235060319256,,penman-monteith,probability_ratio,unadjusted,GCMagicc,-1.8381701072586882,inf,2060,2041,20
gridcell-spei-area-mean,2010,1991,200,0.038,38,,factual,0.019,50,,False,,1000,penman-monteith,probability,adjusted,CanESM5,-1.8381701072586882,0.061,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.0,0,,natural,0.0,50,,True,,1000,penman-monteith,probability,adjusted,CanESM5,-1.8381701072586882,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,inf,,0.038,factual/natural,1.4797835438359566,50,0.0,True,2.5559897575348343,,penman-monteith,probability_ratio,adjusted,CanESM5,-1.8381701072586882,inf,2014,1995,20
