name,role,byte_size,sha256,public_url,status
normalized_7Augext/data_DAT_<model>_<scenario>_*.h5,"normalized model and ERA5 HEALPix inputs containing y64 and the predictor matrix",,,,not redistributed; rebuild from the documented CMIP6 and ERA5 preparation workflow
gcmagicc-xs-figure-source-full_monthly_results-sha9436752a.csv,"authoritative raw source for the companion compact plotted points",1528623568,9436752a1d2a0b2af0d707bab9776d4cc8f874968cc2ad472c8ad16c4a5dca68,,awaiting Zenodo publication
gcmagicc-xs-regenerated-full_monthly_results-20260713-shac172dc10.csv,"distinct regenerated intermediate with per-model scenario variable and monthly prediction summaries",466770470,c172dc10d0f64eec54efe57187968ed8fdf1e8d0c9d4c5895e09d0a8cbcb6b84,,awaiting Zenodo publication
gcmagicc-xs-member-draws-20260713-shaed7d10cf.npz,"raw held-out-scenario member draws for offline quantile recomputation",454465366,ed7d10cf1a81f8ed59e127ff4fedac4580e4247d68bccbfaa0482461d2bde86f,,awaiting Zenodo publication
