quantile,ssp119,ssp126,ssp370,ssp434,ssp460,ssp585
2.5%,0.5241491925000001,0.9368538624999998,2.9192262650000003,1.1905336374999993,2.2063691350000005,4.287346325000001
5%,0.7147933350000002,1.1358322250000004,3.071850584999999,1.3944031000000001,2.3840636400000004,4.461482195
10%,0.9484129999999998,1.3889342800000002,3.3180970199999997,1.6346468400000003,2.64564828,4.689758299999999
90%,2.8568482900000007,3.28014222,5.2068513,3.5426332,4.53639222,6.60868841
95%,3.033784335,3.442482065,5.393908724999999,3.6968491849999996,4.69076352,6.77708895
97.5%,3.1644529200000004,3.5650802849999996,5.5287937675,3.82881234,4.8322006175,6.896597217499999
